timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574387467970,112,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,112,0,79
1574387468083,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,65,0,29
1574387468149,62,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,62,0,31
1574387468212,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,65,0,31
1574387468277,58,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,58,0,29
1574387468336,67,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,67,0,29
1574387468404,58,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,58,0,29
1574387468463,68,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,68,0,38
1574387468531,60,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,60,0,31
1574387468592,70,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,70,0,31
1574387468662,62,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,62,0,29
1574387468724,63,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,63,0,30
1574387468787,63,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,63,0,30
1574387468851,66,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,66,0,30
1574387468917,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,60,0,31
1574387468978,60,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,60,0,32
1574387469039,87,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,86,0,46
1574387469126,79,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,79,0,43
1574387469205,66,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,66,0,35
1574387469272,76,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,76,0,36
1574387469349,79,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,79,0,42
1574387469428,73,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,73,0,30
1574387469503,72,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,72,0,40
1574387469576,72,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,72,0,31
1574387469649,66,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,66,0,32
1574387469716,76,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,76,0,44
1574387469792,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,61,0,32
1574387469854,59,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,59,0,30
1574387469913,69,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,69,0,38
1574387469982,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,61,0,29
1574387470043,62,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,62,0,31
1574387470106,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,64,0,33
1574387470171,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3058,117,1,1,http://teststuff.biz/,61,0,31
1574387470233,59,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,59,0,30
1574387470292,58,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,58,0,30
1574387470351,67,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,67,0,35
1574387470419,91,HTTP Request,200,OK,Thread Group 1-1,text,true,,3058,117,1,1,http://teststuff.biz/,91,0,59
1574387470511,88,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,87,0,49
1574387470599,88,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,87,0,55
1574387470687,62,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,62,0,30
1574387470750,66,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,66,0,31
1574387470817,74,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,74,0,41
1574387470892,73,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,73,0,42
1574387470965,67,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,67,0,33
1574387471033,62,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,62,0,29
1574387471096,74,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,74,0,44
1574387471170,63,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,63,0,31
1574387471233,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,64,0,36
1574387471298,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,61,0,31
1574387471360,74,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,74,0,43
1574387471435,77,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,77,0,45
1574387471512,71,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,71,0,39
1574387471584,68,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,68,0,36
1574387471653,77,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,77,0,35
1574387471732,75,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,75,0,43
1574387471807,62,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,62,0,32
1574387471870,68,HTTP Request,200,OK,Thread Group 1-1,text,true,,3058,117,1,1,http://teststuff.biz/,68,0,32
1574387471938,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,64,0,35
1574387472002,75,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,75,0,38
1574387472078,59,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,59,0,30
1574387472137,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,61,0,31
1574387472199,67,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,67,0,32
1574387472266,63,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,63,0,31
1574387472330,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,64,0,32
1574387472395,70,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,70,0,35
1574387472465,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,64,0,33
1574387472530,63,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,63,0,30
1574387472594,84,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,84,0,44
1574387472678,62,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,62,0,32
1574387472741,73,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,73,0,35
1574387472815,68,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,68,0,36
1574387472884,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,65,0,30
1574387472950,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3058,117,1,1,http://teststuff.biz/,64,0,31
1574387473014,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,65,0,30
1574387473080,63,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,63,0,33
1574387473142,59,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,59,0,31
1574387473202,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,65,0,30
1574387473267,66,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,66,0,30
1574387473334,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,64,0,29
1574387473398,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,61,0,29
1574387473460,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,65,0,32
1574387473526,66,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,66,0,31
1574387473593,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,65,0,31
1574387473658,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,64,0,31
1574387473723,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,63,0,31
1574387473788,56,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,56,0,28
1574387473844,58,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,58,0,30
1574387473903,67,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,67,0,38
1574387473971,66,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,66,0,31
1574387474038,81,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,81,0,42
1574387474120,67,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,67,0,31
1574387474187,62,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,62,0,31
1574387474249,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,65,0,32
1574387474315,66,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,66,0,35
1574387474381,92,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,92,0,32
1574387474473,62,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,62,0,30
1574387474535,63,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,63,0,32
1574387474598,63,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,63,0,34
1574387474661,62,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,62,0,32
1574387474724,70,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,70,0,38
1574387474795,63,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,63,0,32
1574387474859,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,64,0,29
1574387474923,68,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,68,0,32
1574387474992,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,61,0,31
1574387475054,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,65,0,28
1574387475119,75,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,75,0,34
1574387475194,71,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,71,0,35
1574387475266,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,61,0,31
1574387475328,76,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,76,0,32
1574387475405,62,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,62,0,28
1574387475467,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,61,0,30
1574387475528,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,61,0,32
1574387475590,62,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,62,0,29
1574387475652,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,61,0,29
1574387475713,66,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,66,0,32
1574387475779,69,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,69,0,29
1574387475849,57,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,57,0,28
1574387475907,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,65,0,33
1574387475972,69,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,68,0,37
1574387476041,59,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,59,0,30
1574387476101,58,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,58,0,28
1574387476159,82,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,82,0,31
1574387476242,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,64,0,34
1574387476307,78,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,78,0,47
1574387476385,69,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,69,0,32
1574387476455,67,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,67,0,33
1574387476523,79,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,79,0,49
1574387476603,71,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,71,0,39
1574387476675,69,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,69,0,33
1574387476744,105,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,105,0,75
1574387476850,77,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,77,0,43
1574387476928,76,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,76,0,42
1574387477005,75,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,75,0,46
1574387477081,72,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,72,0,33
1574387477154,69,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,69,0,38
1574387477224,71,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,71,0,32
1574387477296,67,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,67,0,34
1574387477364,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,65,0,34
1574387477430,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,61,0,29
1574387477492,63,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,63,0,29
1574387477556,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,65,0,36
1574387477622,82,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,82,0,35
1574387477705,66,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,66,0,30
1574387477772,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,64,0,30
1574387477836,76,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,75,0,42
1574387477912,58,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,58,0,30
1574387477971,68,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,68,0,31
1574387478040,58,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,58,0,29
1574387478099,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3058,117,1,1,http://teststuff.biz/,64,0,34
1574387478164,59,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,59,0,28
1574387478223,74,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,74,0,39
1574387478297,72,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,72,0,30
1574387478370,67,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,67,0,33
1574387478438,57,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,57,0,25
1574387478495,79,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,79,0,31
1574387478575,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,61,0,30
1574387478636,67,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,67,0,33
1574387478704,68,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,67,0,30
1574387478776,73,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,73,0,36
1574387478850,71,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,71,0,35
1574387478921,71,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,71,0,33
1574387478992,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,65,0,30
1574387479058,76,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,76,0,40
1574387479134,58,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,58,0,29
1574387479193,72,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,72,0,29
1574387479265,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,65,0,32
1574387479330,80,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,80,0,41
1574387479411,81,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,81,0,36
1574387479494,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,65,0,35
1574387479559,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,64,0,33
1574387479624,74,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,74,0,45
1574387479699,73,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,73,0,28
1574387479773,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,64,0,28
1574387479837,75,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,75,0,43
1574387479912,89,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,89,0,43
1574387480002,70,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,70,0,29
1574387480072,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,61,0,30
1574387480133,70,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,70,0,38
1574387480203,77,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,77,0,44
1574387480280,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,61,0,31
1574387480342,91,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,91,0,54
1574387480433,95,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,95,0,57
1574387480529,58,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,58,0,30
1574387480587,60,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,60,0,30
1574387480647,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,64,0,28
1574387480711,67,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,67,0,36
1574387480778,62,HTTP Request,200,OK,Thread Group 1-1,text,true,,3057,117,1,1,http://teststuff.biz/,61,0,29
